,date,predict,code
3416,2020-02-24,1.0,000720
3556,2020-02-25,1.0,000720
3696,2020-02-26,0.6913280487060547,000720
3836,2020-02-27,0.0,000720
3976,2020-02-28,0.0,000720
4116,2020-02-29,0.0,000720
66,2020-01-13,0.7919921875,000732
206,2020-01-14,0.0,000732
346,2020-01-15,0.0,000732
486,2020-01-16,0.0,000732
626,2020-01-17,0.0,000732
766,2020-01-20,0.0,000732
906,2020-01-21,0.0,000732
1046,2020-01-22,0.0,000732
1186,2020-01-23,0.0,000732
1326,2020-02-03,0.0,000732
1466,2020-02-04,0.0,000732
1606,2020-02-05,0.0,000732
1746,2020-02-06,0.0,000732
1886,2020-02-07,0.0,000732
2026,2020-02-10,0.16033363342285156,000732
2166,2020-02-11,1.0,000732
2306,2020-02-12,1.0,000732
2446,2020-02-13,1.0,000732
2586,2020-02-14,1.0,000732
2726,2020-02-17,1.0,000732
2866,2020-02-18,1.0,000732
3006,2020-02-19,1.0,000732
3146,2020-02-20,1.0,000732
3286,2020-02-21,1.0,000732
3426,2020-02-24,1.0,000732
3566,2020-02-25,1.0,000732
3706,2020-02-26,0.3615621328353882,000732
3846,2020-02-27,0.0,000732
3986,2020-02-28,0.0,000732
4126,2020-02-29,0.0,000732
30,2020-01-13,1.0,000810
170,2020-01-14,0.0,000810
310,2020-01-15,0.0,000810
450,2020-01-16,0.0,000810
590,2020-01-17,0.0,000810
730,2020-01-20,0.0,000810
870,2020-01-21,0.0,000810
1010,2020-01-22,0.0,000810
1150,2020-01-23,0.0,000810
1290,2020-02-03,0.0,000810
1430,2020-02-04,0.0,000810
1570,2020-02-05,0.0,000810
1710,2020-02-06,0.0,000810
1850,2020-02-07,0.0,000810
1990,2020-02-10,1.0,000810
2130,2020-02-11,1.0,000810
2270,2020-02-12,1.0,000810
2410,2020-02-13,1.0,000810
2550,2020-02-14,1.0,000810
2690,2020-02-17,1.0,000810
2830,2020-02-18,1.0,000810
2970,2020-02-19,1.0,000810
3110,2020-02-20,1.0,000810
3250,2020-02-21,1.0,000810
3390,2020-02-24,1.0,000810
3530,2020-02-25,1.0,000810
3670,2020-02-26,1.0,000810
3810,2020-02-27,0.0,000810
3950,2020-02-28,0.0,000810
4090,2020-02-29,0.0,000810
36,2020-01-13,1.0,000858
176,2020-01-14,1.0,000858
316,2020-01-15,1.0,000858
456,2020-01-16,1.0,000858
596,2020-01-17,1.0,000858
736,2020-01-20,1.0,000858
876,2020-01-21,1.0,000858
1016,2020-01-22,1.0,000858
1156,2020-01-23,1.0,000858
1296,2020-02-03,1.0,000858
1436,2020-02-04,1.0,000858
1576,2020-02-05,1.0,000858
1716,2020-02-06,1.0,000858
1856,2020-02-07,1.0,000858
1996,2020-02-10,1.0,000858
2136,2020-02-11,1.0,000858
2276,2020-02-12,1.0,000858
2416,2020-02-13,1.0,000858
2556,2020-02-14,1.0,000858
2696,2020-02-17,1.0,000858
2836,2020-02-18,1.0,000858
2976,2020-02-19,1.0,000858
3116,2020-02-20,1.0,000858
3256,2020-02-21,1.0,000858
3396,2020-02-24,1.0,000858
3536,2020-02-25,1.0,000858
3676,2020-02-26,1.0,000858
3816,2020-02-27,1.0,000858
3956,2020-02-28,1.0,000858
4096,2020-02-29,1.0,000858
85,2020-01-13,1.0,000877
225,2020-01-14,0.9765186309814453,000877
365,2020-01-15,0.0,000877
505,2020-01-16,0.0,000877
645,2020-01-17,0.0,000877
785,2020-01-20,0.0,000877
925,2020-01-21,0.0,000877
1065,2020-01-22,0.0,000877
1205,2020-01-23,0.0,000877
1345,2020-02-03,0.0,000877
1485,2020-02-04,0.0,000877
1625,2020-02-05,0.0,000877
1765,2020-02-06,0.0,000877
1905,2020-02-07,0.0,000877
2045,2020-02-10,0.5603952407836914,000877
2185,2020-02-11,1.0,000877
2325,2020-02-12,1.0,000877
2465,2020-02-13,1.0,000877
2605,2020-02-14,1.0,000877
2745,2020-02-17,1.0,000877
2885,2020-02-18,1.0,000877
3025,2020-02-19,1.0,000877
3165,2020-02-20,1.0,000877
3305,2020-02-21,1.0,000877
3445,2020-02-24,1.0,000877
3585,2020-02-25,1.0,000877
3725,2020-02-26,1.0,000877
3865,2020-02-27,0.0,000877
4005,2020-02-28,0.0,000877
4145,2020-02-29,0.0,000877
37,2020-01-13,1.0,000895
177,2020-01-14,1.0,000895
317,2020-01-15,1.0,000895
457,2020-01-16,1.0,000895
597,2020-01-17,1.0,000895
737,2020-01-20,1.0,000895
877,2020-01-21,1.0,000895
1017,2020-01-22,1.0,000895
1157,2020-01-23,1.0,000895
1297,2020-02-03,1.0,000895
1437,2020-02-04,1.0,000895
1577,2020-02-05,1.0,000895
1717,2020-02-06,1.0,000895
1857,2020-02-07,1.0,000895
1997,2020-02-10,1.0,000895
2137,2020-02-11,1.0,000895
2277,2020-02-12,1.0,000895
2417,2020-02-13,1.0,000895
2557,2020-02-14,1.0,000895
2697,2020-02-17,1.0,000895
2837,2020-02-18,1.0,000895
2977,2020-02-19,1.0,000895
3117,2020-02-20,1.0,000895
3257,2020-02-21,1.0,000895
3397,2020-02-24,1.0,000895
3537,2020-02-25,1.0,000895
3677,2020-02-26,1.0,000895
3817,2020-02-27,1.0,000895
3957,2020-02-28,1.0,000895
4097,2020-02-29,1.0,000895
34,2020-01-13,1.0,000921
174,2020-01-14,0.0,000921
314,2020-01-15,0.0,000921
454,2020-01-16,0.0,000921
594,2020-01-17,0.0,000921
734,2020-01-20,0.0,000921
874,2020-01-21,0.0,000921
1014,2020-01-22,0.0,000921
1154,2020-01-23,0.0,000921
1294,2020-02-03,0.0,000921
1434,2020-02-04,0.0,000921
1574,2020-02-05,0.0,000921
1714,2020-02-06,0.0,000921
1854,2020-02-07,0.0,000921
1994,2020-02-10,1.0,000921
2134,2020-02-11,1.0,000921
2274,2020-02-12,1.0,000921
2414,2020-02-13,1.0,000921
2554,2020-02-14,1.0,000921
2694,2020-02-17,1.0,000921
2834,2020-02-18,1.0,000921
2974,2020-02-19,1.0,000921
3114,2020-02-20,1.0,000921
3254,2020-02-21,1.0,000921
3394,2020-02-24,1.0,000921
3534,2020-02-25,1.0,000921
3674,2020-02-26,1.0,000921
3814,2020-02-27,0.0,000921
3954,2020-02-28,0.0,000921
4094,2020-02-29,0.0,000921
8,2020-01-13,1.0,000923
148,2020-01-14,0.24813032150268555,000923
288,2020-01-15,0.0,000923
428,2020-01-16,0.0,000923
568,2020-01-17,0.0,000923
708,2020-01-20,0.0,000923
848,2020-01-21,0.0,000923
988,2020-01-22,0.0,000923
1128,2020-01-23,0.0,000923
1268,2020-02-03,0.0,000923
1408,2020-02-04,0.0,000923
1548,2020-02-05,0.0,000923
1688,2020-02-06,0.0,000923
1828,2020-02-07,0.0,000923
1968,2020-02-10,1.0,000923
2108,2020-02-11,1.0,000923
2248,2020-02-12,1.0,000923
2388,2020-02-13,1.0,000923
2528,2020-02-14,1.0,000923
2668,2020-02-17,1.0,000923
2808,2020-02-18,1.0,000923
2948,2020-02-19,1.0,000923
3088,2020-02-20,1.0,000923
3228,2020-02-21,1.0,000923
3368,2020-02-24,1.0,000923
3508,2020-02-25,1.0,000923
3648,2020-02-26,1.0,000923
3788,2020-02-27,0.0,000923
3928,2020-02-28,0.0,000923
4068,2020-02-29,0.0,000923
20,2020-01-13,1.0,000975
160,2020-01-14,0.049430251121520996,000975
300,2020-01-15,0.0,000975
440,2020-01-16,0.0,000975
580,2020-01-17,0.0,000975
720,2020-01-20,0.0,000975
860,2020-01-21,0.0,000975
1000,2020-01-22,0.0,000975
1140,2020-01-23,0.0,000975
1280,2020-02-03,0.0,000975
1420,2020-02-04,0.0,000975
1560,2020-02-05,0.0,000975
1700,2020-02-06,0.0,000975
1840,2020-02-07,0.0,000975
1980,2020-02-10,1.0,000975
2120,2020-02-11,1.0,000975
2260,2020-02-12,1.0,000975
2400,2020-02-13,1.0,000975
2540,2020-02-14,1.0,000975
2680,2020-02-17,1.0,000975
2820,2020-02-18,1.0,000975
2960,2020-02-19,1.0,000975
3100,2020-02-20,1.0,000975
3240,2020-02-21,1.0,000975
3380,2020-02-24,1.0,000975
3520,2020-02-25,1.0,000975
3660,2020-02-26,0.7260632514953613,000975
3800,2020-02-27,0.0,000975
3940,2020-02-28,0.0,000975
4080,2020-02-29,0.0,000975
106,2020-01-13,1.0,000997
246,2020-01-14,0.0,000997
386,2020-01-15,0.0,000997
526,2020-01-16,0.0,000997
666,2020-01-17,0.0,000997
806,2020-01-20,0.0,000997
946,2020-01-21,0.0,000997
1086,2020-01-22,0.0,000997
1226,2020-01-23,0.0,000997
1366,2020-02-03,0.0,000997
1506,2020-02-04,0.0,000997
1646,2020-02-05,0.0,000997
1786,2020-02-06,0.0,000997
1926,2020-02-07,0.0,000997
2066,2020-02-10,1.0,000997
2206,2020-02-11,1.0,000997
2346,2020-02-12,1.0,000997
2486,2020-02-13,1.0,000997
2626,2020-02-14,1.0,000997
2766,2020-02-17,1.0,000997
2906,2020-02-18,1.0,000997
3046,2020-02-19,1.0,000997
3186,2020-02-20,1.0,000997
3326,2020-02-21,1.0,000997
3466,2020-02-24,1.0,000997
3606,2020-02-25,1.0,000997
3746,2020-02-26,1.0,000997
3886,2020-02-27,0.0,000997
4026,2020-02-28,0.0,000997
4166,2020-02-29,0.0,000997
62,2020-01-13,0.5602116584777832,001965
202,2020-01-14,0.0,001965
342,2020-01-15,0.0,001965
482,2020-01-16,0.0,001965
622,2020-01-17,0.0,001965
762,2020-01-20,0.0,001965
902,2020-01-21,0.0,001965
1042,2020-01-22,0.0,001965
1182,2020-01-23,0.0,001965
1322,2020-02-03,0.0,001965
1462,2020-02-04,0.0,001965
1602,2020-02-05,0.0,001965
1742,2020-02-06,0.0,001965
1882,2020-02-07,0.0,001965
2022,2020-02-10,1.0,001965
2162,2020-02-11,1.0,001965
2302,2020-02-12,1.0,001965
2442,2020-02-13,1.0,001965
2582,2020-02-14,1.0,001965
2722,2020-02-17,1.0,001965
2862,2020-02-18,1.0,001965
3002,2020-02-19,1.0,001965
3142,2020-02-20,1.0,001965
3282,2020-02-21,1.0,001965
3422,2020-02-24,1.0,001965
3562,2020-02-25,1.0,001965
3702,2020-02-26,0.644749641418457,001965
3842,2020-02-27,0.0,001965
3982,2020-02-28,0.0,001965
4122,2020-02-29,0.0,001965
101,2020-01-13,0.4148116111755371,002013
